year,q,brent,coal,coffee,gold,nickel,period,commodity_idx
2004,1,31.946789510006898,47.43333333333334,1.6681624666666668,408.44433333333336,14728.891000000001,2004Q1,36.3859524826396
2004,2,35.489984051036664,55.291666666666664,1.7243067893333333,393.13733333333334,12499.979,2004Q2,39.93799838424209
2004,3,41.5939393939394,71.05833333333334,1.683006908,401.292,13991.242666666667,2004Q3,46.470017935355436
2004,4,44.17200577200577,69.93333333333334,2.0204607426666663,433.9726666666667,14072.850333333334,2004Q4,49.0356172632645
2005,1,47.64147474747474,59.13166666666666,2.667957636666667,427.07666666666665,15348.383333333333,2005Q1,50.422746922042464
2005,2,51.60995670995673,50.9625,2.7856108573333334,427.2543333333333,16410.983333333334,2005Q2,51.05823032133377
2005,3,61.5502886002886,51.23,2.3341046813333333,439.48566666666665,14567.207666666667,2005Q3,55.331542437961275
2005,4,56.9348015873016,43.04333333333333,2.341012490666667,485.5536666666667,12649.263,2005Q4,51.02874964804103
2006,1,61.91677639751553,50.68666666666667,2.623350825333333,553.984,14810.459666666668,2006Q1,57.0814247116032
2006,2,69.8290350877193,54.373333333333335,2.409870122,627.397,19924.63666666667,2006Q2,62.525457617051316
2006,3,70.09374051069706,52.663333333333334,2.3998023573333334,621.4963333333334,29153.513333333332,2006Q3,62.55861387020442
2006,4,59.72597288676237,51.06333333333333,2.6553913026666667,614.466,33129.02733333333,2006Q4,57.51934389183581
2007,1,58.06657575757577,52.49333333333334,2.6722933893333334,650.2686666666667,41440.053,2007Q1,57.57974042065918
2007,2,68.73023282844794,53.64666666666667,2.5512597513333333,667.446,48054.82033333334,2007Q2,63.54486795485073
2007,3,75.0425375494071,61.70666666666667,2.710653777333333,681.148,30205.15166666667,2007Q3,68.9557517028293
2007,4,88.94533596837944,87.18,2.960584198,788.0183333333334,29219.202,2007Q4,84.19687630634793
2008,1,96.6715404040404,110.79333333333334,3.2851777493333336,926.7756666666668,28956.761333333332,2008Q1,95.78367929210049
2008,2,122.39082972582933,125.52666666666666,3.1511368533333335,895.9520000000001,25682.41,2008Q2,111.47259312658134
2008,3,115.59539400213329,159.54333333333332,3.211837390666666,869.5763333333334,18960.837333333333,2008Q3,113.94993420999485
2008,4,55.88817259552044,93.66333333333334,2.6782458633333337,794.525,10842.570666666667,2008Q4,64.47845869810405
2009,1,44.9805303030303,68.31666666666666,2.838815686666667,908.6543333333334,10470.673,2009Q1,53.7254780987011
2009,2,59.134336219336234,57.13666666666666,3.201549164,921.505,12920.397333333332,2009Q2,60.76617850729532
2009,3,68.36719336219336,55.99333333333334,3.2274901926666666,960.0646666666667,17699.832333333336,2009Q3,66.16529588179577
2009,4,74.9667676767677,56.21,3.4167164016333333,1101.6396666666667,17527.61533333333,2009Q4,70.83203898870536
2010,1,76.6532608695652,61.3125,3.536651404,1108.9043333333332,19958.851333333336,2010Q1,73.76198035018449
2010,2,78.6892352092352,76.01666666666667,3.9199613346666666,1195.6806666666669,22475.847999999998,2010Q2,80.45487241784016
2010,3,76.4051515151515,79.99,4.6848909873333335,1226.5843333333332,21191.414,2010Q3,81.68932691352107
2010,4,86.79487232574188,94.57,5.138895732666667,1367.4876666666667,23609.296333333332,2010Q4,93.2250446277775
2011,1,104.8970300207039,114.50166666666667,6.200346775333333,1386.1333333333332,26869.61666666667,2011Q1,110.99257720406308
2011,2,117.095303030303,116.39333333333333,6.3653993259999995,1507.61,24355.33,2011Q2,119.27688924681631
2011,3,112.473465085639,113.92,5.977018769333333,1701.3,22023.543333333335,2011Q3,116.19734725295018
2011,4,109.29390331890333,101.17999999999999,5.3617828146666655,1681.8,18392.936666666665,2011Q4,109.34207847582289
2012,1,118.59573593073567,91.77,4.869467786333334,1691.6066666666666,19636.416666666668,2012Q1,110.73541035801792
2012,2,108.85809558316087,82.22333333333334,4.003516432666667,1612.3333333333333,17185.7077777778,2012Q2,100.13042722018244
2012,3,109.95446969696967,82.68166666666666,3.99958006768116,1656.47,16383.8585375494,2012Q3,100.93547786893211
2012,4,110.45393214756267,79.27,3.571263938,1717.6606666666667,16984.2012121212,2012Q4,99.35848281538803
2013,1,112.91104545454533,79.30333333333334,3.354917228666667,1630.8346721877167,17295.842857142867,2013Q1,99.57440197352068
2013,2,103.00413702239798,71.3496948946207,3.198577240386957,1415.0780764163367,14967.062022397868,2013Q2,90.46465787154425
2013,3,110.10068699416534,65.7660629232291,2.9822843519151134,1328.6191567852431,13955.546630905335,2013Q3,90.72079755901146
2013,4,109.40962870945468,71.09444444444443,2.768180361746033,1271.3173015872999,13908.738026224966,2013Q4,91.17273332891241
2014,1,107.87666666666667,68.43666666666667,3.8247217506666664,1293.31,14660.966666666667,2014Q1,92.77945023723422
2014,2,109.78000000000002,64.80666666666667,4.670634444666667,1288.7633333333333,18467.83,2014Q2,94.6830969012435
2014,3,102.08,66.80333333333333,4.559154159999999,1280.7566666666667,18584.216666666667,2014Q3,91.40828063119837
2014,4,76.01333333333334,63.68333333333334,4.640651612666667,1199.4799999999998,15860.49,2014Q4,76.29208676020714
2015,1,53.93,57.346833333333336,3.8921096353333335,1218.82,14392.843333333332,2015Q1,60.421387733639534
2015,2,62.09666666666667,54.30083333333334,3.5438531626666667,1193.0200000000002,13055.83,2015Q2,63.5747500819089
2015,3,50.03333333333333,50.37166666666667,3.3621924746666667,1123.67,10578.883333333333,2015Q3,54.61870859307216
2015,4,43.419999999999995,48.0075,3.3061216393333335,1107.1433333333334,9422.983333333334,2015Q4,49.66021922095804
2016,1,34.35666666666666,42.74166666666667,3.308620208666667,1180.8500000000001,8507.68,2016Q1,42.54567501657383
2016,2,45.95333333333334,44.76333333333333,3.489619510666667,1259.8700000000001,8822.52,2016Q2,51.07644768606578
2016,3,45.605000000000004,56.04,3.7380434410000003,1338.41,10314.39,2016Q3,54.606183466392075
