period,year,quarter,domestic_demand_real_cop_billion,total_consumption_real_cop_billion,private_consumption_real_cop_billion,government_consumption_real_cop_billion,investment_real_cop_billion,fixed_investment_real_cop_billion,exports_real_cop_billion,imports_real_cop_billion,gdp_real_cop_billion,domestic_demand_nominal_cop_billion,total_consumption_nominal_cop_billion,private_consumption_nominal_cop_billion,government_consumption_nominal_cop_billion,investment_nominal_cop_billion,fixed_investment_nominal_cop_billion,exports_nominal_cop_billion,imports_nominal_cop_billion,gdp_nominal_cop_billion,trm_avg_cop_per_usd,trm_end_cop_per_usd,net_exports_real_cop_billion,net_exports_nominal_cop_billion,gdp_usd_m
2005Q1,2005,1,113928.89628709466,96825.97428961276,82036.68786589547,14794.445947659111,18548.46447181079,18507.161646577955,19831.47763307455,17191.88706006717,121117.73043670836,81795.15114283546,63367.142022871376,52976.47492377989,10390.667099091486,18428.009119964085,16161.478221533496,12735.508841954626,15075.720277604989,79454.9397071851,2352.3528070175435,2376.48,2639.590573007383,-2340.2114356503625,33776.79550029867
2005Q2,2005,2,124084.40931050594,100409.30209640754,84948.29219640164,15480.99275762658,23912.501721127886,19918.57581516726,22333.865157383003,19339.357669821296,125559.33523959867,83740.7832690801,67086.09800148748,55617.11489308773,11468.983108399754,16654.68526759262,15773.23463796807,14680.257239134353,17002.337349986286,81418.70315822818,2340.3575806451613,2331.81,2994.5074875617065,-2322.0801108519336,34789.00140370159
2005Q3,2005,3,123351.17468360958,102609.15022640373,86762.23384398124,15874.024848814115,21772.334207400105,20553.35930800375,22882.817521835528,20415.211641254748,129223.31345343766,89378.09161657101,68374.7866392811,57447.992261149935,10926.794378131164,21003.304977289907,17247.8385596001,15125.589754826768,17930.06436697389,86573.61700442388,2307.4914516129033,2289.61,2467.6058805807806,-2804.4746121471217,37518.49955669833
2005Q4,2005,4,140033.51971878984,119232.57338757599,94993.78609372162,24225.53644590019,22486.699599661228,26958.90323025105,23076.839687706917,21761.54362885679,138952.62087025528,94806.97397151368,77703.97333635998,63324.41792198243,14379.555414377557,17103.000635153705,21640.448580898334,14813.644164084251,19109.87800543484,90510.74013016309,2283.5172413793102,2284.22,1315.2960588501264,-4296.233841350588,39636.54772997991
2006Q1,2006,1,123815.12281325576,102452.08798068188,86994.133924183,15466.853227954996,22240.98361197826,20661.048367401214,22337.196251130565,19843.49814535493,128839.68114415972,90623.49887994809,70428.04255908304,58930.201884306145,11497.840674776897,20195.456320865054,18455.73259625814,14668.166295204963,17414.265727465347,87877.39944768771,2263.5245762711866,2289.98,2493.6981057756348,-2746.0994322603838,38823.25836835065
2006Q2,2006,2,133231.53227489945,106038.6570604728,90321.97679221311,15749.043812571314,27234.140178588274,22856.19992569241,23616.113288567132,22699.553320554653,132242.90768508735,93837.6966239941,74572.54721222896,62111.5531736962,12460.994038532757,19265.149411765124,18624.27646163952,17271.69990449842,20703.34063416395,90406.05589432854,2434.5737288135592,2633.12,916.5599680124797,-3431.6407296655307,37134.24441591511
2006Q3,2006,3,137786.66469891297,109477.9557075351,92815.41528434926,16695.886790595025,28214.251043044147,25926.200771634016,24648.78525440808,24811.224485159095,139114.40832028733,104164.44162136997,77258.14338398853,64939.83639711366,12318.306986874875,26906.298237381438,22503.38101433988,18122.134694235763,22848.418432369628,99438.1578832361,2428.3075000000003,2394.31,-162.43923075101338,-4726.283738133865,40949.57408945781
2006Q4,2006,4,148804.68021293194,126974.29925131019,100821.47399925461,26132.216168878665,23715.625166389313,32626.550935272367,25910.905205894232,25270.72404893132,149238.00285046562,108945.36287468794,87776.26684469939,71084.408544884,16691.858299815394,21169.096029988556,26573.609927762453,17590.99910606085,22653.97520600107,103882.38677474775,2304.4159649122807,2238.79,640.1811569629135,-5062.976099940217,45079.70277783686
2007Q1,2007,1,135409.58797127064,108438.928926805,92916.64788491499,15579.35029764157,27087.062818168015,26638.7968835264,22749.43964600905,22971.884272095285,137488.51677684105,106256.01345067925,79031.62815666125,66418.99269567548,12612.635460985766,27224.385294018004,24380.936678100912,16099.637704853425,21238.19483474118,101117.45632079149,2221.1393333333335,2190.3,-222.44462608623508,-5138.557129887757,45525.039696200125
2007Q2,2007,2,144784.41871533985,111779.59943631223,95726.89120837528,16128.584155104834,32620.84591160382,29355.03091097881,23879.21606401158,25138.541217427868,141316.49758886755,106573.48839857799,83370.89842472624,69633.99903767435,13736.899387051883,23202.589973851755,23712.809179926764,15636.151948224666,20904.682224391094,101304.95812241157,2022.426551724138,1960.61,-1259.3251534162882,-5268.530276166428,50090.79713478253
