scenario,mobility,trm_cop_per_usd,trm_change_pct,gdp_real_cop_billion,output_gap_pct,current_account_usd_m,financial_account_inflow_usd_m,balance_of_payments_gap_usd_m
Base,perfecta,3560.6199999999976,-6.661338147750939e-14,271434.7141091751,0.0,-3912.000000000008,3471.000000000008,0.0
Expansion fiscal (+5% G),perfecta,3251.6865612635092,-8.676394525012231,271434.7141091751,0.0,-4714.959803192466,4273.959803192466,0.0
Contraccion fiscal (-5% G),perfecta,3869.5534387364855,8.6763945250121,271434.7141091751,0.0,-3109.040196807542,2668.040196807542,0.0
Expansion monetaria (+10% M),perfecta,3856.6958794002217,8.315290016913401,275777.6695349219,1.6000000000000014,-3521.689959546663,3080.689959546663,0.0
Subida tasa Banrep (+100 pbs),perfecta,3560.6199999999976,-6.661338147750939e-14,271434.7141091751,0.0,-3912.000000000008,3471.000000000008,0.0
Subida tasa Fed (+100 pbs),perfecta,3986.8741651817613,11.971346708768738,276863.40839135856,2.0000000000000018,-3278.1467894769385,2837.1467894769385,0.0
Subida prima de riesgo (+150 pbs),perfecta,4200.001247772646,17.95702006315323,279577.75553245033,3.0000000000000027,-2961.2201842154,2520.2201842154,0.0
Caida petroleo (-15%),perfecta,3635.495406599246,2.102875527274639,271434.7141091751,0.0,-3912.000000000004,3471.000000000004,0.0
Mejora externa (+2% PIB en NX),perfecta,2974.021602911718,-16.47461388994843,271434.7141091751,0.0,-3912.000000000004,3471.000000000004,0.0
Deterioro externo (-2% PIB en NX),perfecta,4147.218397088276,16.474613889948287,271434.7141091751,0.0,-3912.000000000006,3471.000000000006,0.0
Base,imperfecta,3560.62,0.0,271434.7141091751,0.0,-3912.0,3471.0,0.0
Expansion fiscal (+5% G),imperfecta,3506.576036297242,-1.5178245278282487,274680.9712867774,1.1959624207449782,-4335.922101282221,3949.380125988957,54.45802470673607
Contraccion fiscal (-5% G),imperfecta,3615.310231868334,1.5359749669533462,268196.6794005863,-1.1929331586108094,-3487.1177507801863,2993.831494290425,-52.2862564897614
Expansion monetaria (+10% M),imperfecta,3619.7655433411087,1.6611023737750363,272760.1675761815,0.4883139105314793,-3874.001465122158,3026.315332568881,-406.6861325532773
Subida tasa Banrep (+100 pbs),imperfecta,3487.7493512381297,-2.046571910562489,269791.4172836539,-0.605411445221482,-3957.9170907617295,4028.8459802037232,511.92888944199376
Subida tasa Fed (+100 pbs),imperfecta,3644.72341862515,2.362044212107728,272505.83143917215,0.39461324374532314,-3786.9227865804023,2828.832924117312,-517.0898624630904
Subida prima de riesgo (+150 pbs),imperfecta,3687.3482639184695,3.5591628401365316,273048.6908353872,0.5946095478277513,-3723.5304120282467,2508.8240592419174,-773.7063527863293
Caida petroleo (-15%),imperfecta,3577.2460447873173,0.4669424085501195,270692.8516003849,-0.27331158110150966,-3998.6204985844533,3361.676074350013,-195.94442423444025
Mejora externa (+2% PIB en NX),imperfecta,3432.442539924686,-3.5998635090325193,277273.13277959713,2.150947674317649,-3230.300469117458,4331.372795454891,1542.0723263374334
Deterioro externo (-2% PIB en NX),imperfecta,3692.4934404432192,3.7036651044823454,265643.3290795046,-2.1336198830268716,-4588.205904278302,2617.5565352113117,-1529.6493690669904
Base,fijo,3560.62,0.0,271434.71410917514,2.220446049250313e-14,-3912.000000000004,3471.000000000004,0.0
Expansion fiscal (+5% G),fijo,3560.62,0.0,275966.2691844253,1.6694825089422993,-4307.699937191578,3866.699937191578,0.0
Contraccion fiscal (-5% G),fijo,3560.62,0.0,266903.15903392487,-1.6694825089422993,-3516.30006280842,3075.30006280842,0.0
Expansion monetaria (+10% M),fijo,3560.62,0.0,271434.71410917514,2.220446049250313e-14,-3912.000000000004,3471.000000000004,0.0
Subida tasa Banrep (+100 pbs),fijo,3560.62,0.0,271434.71410917514,2.220446049250313e-14,-3912.000000000004,3471.000000000004,0.0
Subida tasa Fed (+100 pbs),fijo,3560.62,0.0,270610.94755877275,-0.3034860714503207,-3840.067878059114,3399.067878059114,0.0
Subida prima de riesgo (+150 pbs),fijo,3560.62,0.0,270199.06428357156,-0.45522910717548104,-3804.1018170886737,3363.1018170886737,0.0
Caida petroleo (-15%),fijo,3560.62,0.0,270336.4127075076,-0.4046282013971614,-4010.7065310349344,3569.7065310349344,0.0
Mejora externa (+2% PIB en NX),fijo,3560.62,0.0,280039.1661048246,3.1699895217487395,-3138.700788455995,2697.700788455995,0.0
Deterioro externo (-2% PIB en NX),fijo,3560.62,0.0,262830.26211352565,-3.1699895217487173,-4685.299211544009,4244.299211544009,0.0
